venta_id,fecha,marca,categoria,producto,preciounitario,precioventafinalunitario,cantidadvendida,totalventa
1,2024-07-22 17:49:02,HP,Impresora,HP LaserJet Pro MFP,$300.00,$341.00,1,$341.00
2,2025-02-11 17:49:02,Lenovo,Desktop,Lenovo IdeaCentre 3,$560.00,$619.00,4,"$2,476.00"
3,2024-10-17 17:49:02,Cisco,Red,Cisco RV340,$170.00,$221.00,4,$884.00
4,2024-12-29 17:49:02,NVIDIA,Componente,NVIDIA GeForce RTX 3070,$600.00,$656.00,2,"$1,312.00"
5,2025-04-21 17:49:02,HyperX,Accesorio,HyperX Cloud II,$100.00,$154.00,4,$616.00
6,2024-12-25 17:49:02,HP,Desktop,HP EliteDesk 800,$680.00,$729.00,1,$729.00
7,2025-04-26 17:49:02,Crucial,Componentes,Crucial MX500 SSD 1TB,$110.00,$176.00,1,$176.00
8,2024-11-07 17:49:02,Epson,Impresora,Epson EcoTank ET-4760,$350.00,$417.00,5,"$2,085.00"
9,2024-12-06 17:49:02,Linksys,Red,Linksys Velop,$230.00,$298.00,3,$894.00
10,2024-10-20 17:49:02,Cisco,Red,Cisco RV340,$170.00,$233.00,4,$932.00
11,2024-09-15 17:49:02,Razer,Accesorio,Razer DeathAdder V2,$70.00,$121.00,1,$121.00
12,2025-02-15 17:49:02,BenQ,Monitor,BenQ GW2480,$210.00,$255.00,3,$765.00
13,2024-08-07 17:49:02,Acer,Desktop,Acer Veriton X,$550.00,$597.00,1,$597.00
14,2024-10-31 17:49:02,SteelSeries,Accesorio,SteelSeries Arctis 7,$150.00,$192.00,3,$576.00
15,2025-02-22 17:49:02,LG,Monitor,LG 27UL850,$400.00,$445.00,1,$445.00
16,2024-08-23 17:49:02,BenQ,Monitor,BenQ GW2480,$210.00,$262.00,5,"$1,310.00"
17,2024-10-08 17:49:02,Acer,Monitor,Acer R240HY,$200.00,$258.00,1,$258.00
18,2024-08-19 17:49:02,Apple,Tablet,iPad Pro 11,$800.00,$855.00,2,"$1,710.00"
19,2025-01-12 17:49:02,NVIDIA,Componente,NVIDIA GeForce RTX 3080,$800.00,$850.00,1,$850.00
